tribunal,grau,numero,classe,orgao,ano_ajuizamento,duracao_dias,qtd_movimentos,desfecho
TRF1,G1,10446132820214013900,Mandado de Segurança Cível,05ª - Belém,2021.0,576.0,42,sem sentença identificada
TRF1,G1,10446141320214013900,Mandado de Segurança Cível,05ª - Belém,2021.0,567.0,44,sem sentença identificada
TRF1,G1,10446193520214013900,Mandado de Segurança Cível,05ª - Belém,2021.0,539.0,41,sem sentença identificada
TRF1,G1,10140666920214013814,Procedimento do Juizado Especial Cível,02ª Ipatinga,2021.0,250.0,33,sem sentença identificada
TRF1,G1,10155058420214013307,Procedimento do Juizado Especial Cível,02ª V. Conquista,2021.0,281.0,40,desfavorável
TRF1,G1,10166608920214013803,Mandado de Segurança Cível,03ª Uberlândia,2021.0,246.0,40,sem sentença identificada
TRF1,G1,10166678120214013803,Mandado de Segurança Cível,03ª Uberlândia,2021.0,246.0,36,sem sentença identificada
TRF1,G1,10197406720214013801,Mandado de Segurança Cível,03ª Juiz de Fora,2021.0,250.0,35,sem sentença identificada
TRF1,G1,10197415220214013801,Mandado de Segurança Cível,04ª Juiz de Fora,2021.0,250.0,33,sem sentença identificada
TRF1,G1,10197519620214013801,Mandado de Segurança Cível,04ª Juiz de Fora,2021.0,250.0,37,sem sentença identificada
TRF1,G1,10216134120214013304,Procedimento do Juizado Especial Cível,01ª Feira de Santana,2021.0,610.0,48,favorável
TRF1,G1,10122992320214013902,Cumprimento de Sentença contra a Fazenda Pública,01ª Santarém,2021.0,1003.0,75,favorável
TRF1,G1,10141090620214013814,Mandado de Segurança Cível,01ª Ipatinga,2021.0,247.0,39,favorável
TRF1,G1,10155620520214013307,Procedimento do Juizado Especial Cível,02ª V. Conquista,2021.0,657.0,73,favorável
TRF1,G1,10167560720214013803,Mandado de Segurança Cível,03ª Uberlândia,2021.0,244.0,36,sem sentença identificada
TRF1,G1,10002274920224013811,Procedimento do Juizado Especial Cível,01ª Divinópolis,2022.0,230.0,24,sem sentença identificada
TRF1,G1,10002417820224013602,Cumprimento de Sentença contra a Fazenda Pública,01ª Rondonópolis,2022.0,1217.0,96,favorável
TRF1,G1,10003033720224013823,Procedimento do Juizado Especial Cível,Vara Única de Viçosa,2022.0,224.0,42,sem sentença identificada
TRF1,G1,10732734320224013400,Mandado de Segurança Cível,25ª Vara JEF - Brasília,2022.0,99.0,15,sem sentença identificada
TRF1,G1,10735099220224013400,Inválido,25ª Vara JEF - Brasília,2022.0,708.0,109,acordo
TRF1,G1,10735359020224013400,Procedimento do Juizado Especial Cível,27ª Vara JEF - Brasília,2022.0,122.0,22,sem sentença identificada
TRF1,G1,10060479420224013602,Mandado de Segurança Cível,01ª Rondonópolis,2022.0,102.0,18,sem sentença identificada
TRF1,G1,10069144220224014005,Procedimento do Juizado Especial Cível,Vara Única de Corrente,2022.0,256.0,35,desfavorável
TRF1,G1,10088354820224013904,Mandado de Segurança Cível,Vara Única de Castanhal,2022.0,211.0,24,sem sentença identificada
TRF1,G1,10103352820224014300,Procedimento do Juizado Especial Cível,01ª - Palmas,2022.0,620.0,93,desfavorável
TRF1,G1,10134645220224013100,Cumprimento de Sentença contra a Fazenda Pública,01ª - Macapá,2022.0,550.0,80,favorável
TRF1,G1,10135017920224013100,Cumprimento de Sentença contra a Fazenda Pública,02ª - Macapá,2022.0,544.0,67,sem sentença identificada
TRF1,G1,10199338420224013304,Procedimento Comum Cível,01ª Feira de Santana,2022.0,1178.0,20,sem sentença identificada
TRF1,G1,10199797320224013304,Procedimento Comum Cível,01ª Feira de Santana,2022.0,1116.0,42,favorável
TRF1,G1,10265248320224013200,Procedimento do Juizado Especial Cível,01ª - Manaus,2022.0,403.0,43,sem sentença identificada
TRF1,G1,10365576020224014000,Procedimento do Juizado Especial Cível,05ª - Teresina,2022.0,320.0,26,sem sentença identificada
TRF1,G1,10746903120224013400,Mandado de Segurança Cível,25ª Vara JEF - Brasília,2022.0,285.0,34,sem sentença identificada
TRF1,G1,10747033920224013300,Habeas Data Cível,13ª - Salvador,2022.0,342.0,25,sem sentença identificada
TRF1,G1,10747535620224013400,Procedimento do Juizado Especial Cível,25ª Vara JEF - Brasília,2022.0,605.0,74,desfavorável
TRF1,G1,10153747520224013307,Mandado de Segurança Cível,02ª V. Conquista,2022.0,231.0,37,favorável
TRF1,G1,10204252820224013902,Mandado de Segurança Cível,01ª Santarém,2022.0,188.0,34,sem sentença identificada
TRF1,G1,10268070920224013200,Cumprimento de Sentença contra a Fazenda Pública,09ª - Manaus,2022.0,1036.0,71,favorável
